ID,主題,問題,備選 A,備選 B,備選  C
1,蜜蜂/黄蜂,發現一個蜂巢的蜜蜂或黃蜂后，您應該做什麼？,撞倒,放火燒他們,與主管部門聯繫
2,蜜蜂/黄蜂,被蜜蜂或黃蜂或大黃蜂蜇的主要症狀是下列哪一項？,睡意 ,出血,劇烈疼痛
3,人類飲用水,在巴西是誰負責人類飲用水標準的？,IBAMA,ANVISA,衛生署
4,人類飲用水,懷疑水污染時必須通知哪些當局？,環境,警員,醫療保健
5,人類飲用水,您知道清潔水箱的建議頻率嗎？,每 10 年,清洗不是必需,每 6 個月
6,人類飲用水,您知道什麼人類飲用水嗎？,任何水,烹調用水,喝水
7,海洋生物,在水母襲擊的情況下的急救過程可以使用哪些物質？ ,啤酒,淡水,醋
8,海洋生物,在涉及水母或葡萄牙僧帽水母意外的情況下的急救步驟是什麼？ ,在斑點小便,冰敷,使用醋
9,海洋生物,如何可以緩解涉及有毒魚類造成的痛苦？,塗抹膏藥,喝酒,使用溫水
10,海洋生物,哪個標誌顏色在海灘顯示，表明危險海洋生物的存在？,紅色,黑色,紫色
11,污染空氣,由污染空氣引起的霧叫什麼名字？,熱浪,酸雨,煙霧
12,污染空氣,一般情況下，哪些氣候條件最有利于污染空氣？,多雲,雪,熱和雨
13,污染空氣,引起溫室氣體效應的主要污染物是什麼？,氧氣,氨,二氧化碳
14,污染空氣,哪一種污染空氣物對人群的健康有害？,氮,鉛,二氧化硫
15,污染空氣,哪一個備選項是室內污染空氣的來源？,電淋浴器,遠端控制,空調
16,污染空氣,下列哪一項建議用以應對污染空氣對人體健康的影響？,行使,休息,喝很多水
17,污染空氣,大氣污染對氣候狀況的主要影響是什麼？,潮汐波,洪水,增加的熱量
18,污染空氣,下列哪一項是一氧化碳對人類健康的影響？,肺癌,鼻竇炎,頭痛
19,污染空氣,污染空氣通常較高的水平在哪個季節？,秋天,夏季,冬天
20,污染空氣,下列哪一項在大城市排放大部分污染物？,行業,植被火災,車輛
21,污染空氣,下列哪種設備含有氟氯化碳氣體？,手機,家用電器,冰箱
22,污染空氣,下列哪些車輛相關措施幫助控制空氣品質？,防禦性駕駛,使用其它燃料,使用催化轉換器
23,污染空氣,在燒煤或油的火力發電廠產生的主要污染物是什麼？,臭氧,氮,二氧化硫
24,蜘蛛,哪這些蜘蛛不是巴西嚴重蜘蛛傷害的主要原因？,布朗,巴西流浪蜘蛛,狼蛛
25,蜘蛛,巴西哪些地區集中出現大多數蜘蛛傷害？,東南,東北,南
26,蜘蛛,哪些蜘蛛的叮咬幾乎探測不到？,狼蛛,巴西流浪蜘蛛,布朗
27,蜘蛛,什麼能幫助緩解蜘蛛咬傷引起的疼痛？,擠壓班點,吮吸斑點,热敷 
28,百日咳,嚴重咳嗽是什麼病的特點？,麻疹,腦膜炎,百日咳
29,百日咳,哪些疾病的症狀是嚴重咳嗽和百日咳與嘔吐？,流感,結核病,百日咳
30,百日咳,哪種細菌引起百日咳？,破伤风梭菌,白喉桿菌,百日咳杆茵
31,百日咳,哪種種疫苗預防 1 歲以下兒童患上百日咳？,卡介苗 ,三價病毒疫苗,五價疫苗
32,百日咳,百日咳的主要預防措施是什麼？,使用避孕套,抗生素,疫苗
33,百日咳,哪種抗生素被推薦來治療百日咳？,利福平,達菲,阿奇黴素
34,登革熱/寨卡/基孔肯雅热,必須消除滋生源的頻率是多久？ ,每天,每月,每週
35,登革熱/寨卡/基孔肯雅热,哪些預防措施不會幫助保護孕婦？ ,使用蚊帳,打掃房子,使用油到皮膚
36,登革熱/寨卡/基孔肯雅热,登革熱病是如何傳播的？,親吻,擁抱,蚊蟲叮咬
37,登革熱/寨卡/基孔肯雅热,空調機組會殺伊蚊嗎？,僅愛好者,是,否
38,登革熱/寨卡/基孔肯雅热,登革熱患者可以服用阿司匹林和其他類似的藥物嗎？,是,僅阿司匹林,否，它們不能
39,登革熱/寨卡/基孔肯雅热,人們在一天中的什麼時間會被埃及伊蚊咬到？,只在早上,僅晚上,早上，下午和晚上
40,登革熱/寨卡/基孔肯雅热,辦公室空調可能是埃及伊蚊的繁殖地嗎？,否,僅愛好者,是
41,登革熱/寨卡/基孔肯雅热,所有被寨卡病毒感染的人都有症狀嗎？,是,僅孩子,否
42,登革熱/寨卡/基孔肯雅热,寨卡病毒感染是如何預防的？,個澡,服用維生素,使用噴霧殺蟲劑
43,登革熱/寨卡/基孔肯雅热,寨卡是什麼？,疾病,一隻蚊子,一種病毒
44,登革熱/寨卡/基孔肯雅热,以下哪種症狀定義為懷孕婦女的黃色標誌？,晨吐,鼻塞,紅斑
45,登革熱/寨卡/基孔肯雅热,下列哪種疾病是由蚊子傳播的？ ,梅毒,結核病,基孔肯亞病
46,登革熱/寨卡/基孔肯雅热,下列哪一項是發燒跡象加重的人？,咳嗽,腹瀉,出血
47,災難,在山體滑坡的情況下必須撥打什么？,SAMU (192),CVV (141),民防 (199)
48,災難,在發生火災時，需要撥打的消防部門電話號碼是什麼？,192,194,193
49,災難,洪水後被有毒動物咬傷的情況下必須做什么？ ,吮吸斑點,捕獲動物,去醫院
50,災難,如果您在家裡發現分泌毒液的動物，您應該找誰？,SAMU (192),民防 (199),消防部門 (193)
51,災難,在閃電風暴的情況下，您應該避免呆在哪些地方？,在汽車或公車中,在房屋或建築物中,在樹下
52,災難,被閃電擊中的人會發生什麼？,什麼都沒有,僅燒傷,伯恩斯和死亡
53,災難,在暴雨和洪水淹沒街道的情況下，您應該做什麼？,玩水,穿越洪水,尋求庇護
54,災難,如果您發現一個被遺棄的背包，您怎麼辦？,打開它,把它帶回家,與主管部門聯繫
55,災難,如果您碰到一個帶有放射性符號的物件，您應該做什麼？,觸摸物件,把它帶回家,與主管部門聯繫
56,災難,如果您收到可疑郵件，您會怎麼辦？,返回給寄件者,打開它,與主管部門聯繫
57,災難,如果您看到化學品洩漏湧入街道，您應該找誰？ ,SAMU (192),民警 (197),消防部門 (193)
58,災難,洪水的隱患是什麼？,沒有一個,流感,鉤端螺旋體病
59,白喉,白喉是如何廣為人知的？,弛緩性麻痹 ,重咳嗽,臀部
60,白喉,一般白喉的潛伏期是多久？,5 至 15 天,5 至 10 天,1 到 6 天
61,白喉,攜帶者多長時間可以消除白喉桿菌？,1 年,3 個月或更久,6 個月或更多
