ID,TEMA,PREGUNTA,ALTERNATIVA A,ALTERNATIVA B,ALTERNATIVA C
1,ABEJA/AVISPAS,"Al ver una colmena de abejas o avispas/avispones, ¿qué debe hacerse?",Derrumbarlas,Atizar fuego,Contactar a las autoridades
2,ABEJA/AVISPAS,¿Cuál de estos es el principal síntoma de una picadura de abeja o avispa/avispón?,Somnolencia ,Sangrado,Dolor intenso
3,AGUA PARA CONSUMO HUMANO,¿Quién es responsable por el estándar de potabilidad del agua de consumo humano en Brasil?,IBAMA,ANVISA,Ministerio de Salud
4,AGUA PARA CONSUMO HUMANO,¿Qué sector debe ser comunicado a partir de una sospecha de contaminación de agua?,Medio ambiente,Policía,Salud
5,AGUA PARA CONSUMO HUMANO,¿Usted sabe qué tan frecuentemente se recomienda la limpieza de su caja de agua?,Cada 10 años,No necesita limpiar,Cada 6 meses
6,AGUA PARA CONSUMO HUMANO,¿Usted sabe qué es agua para consumo humano?,Cualquier agua,Agua para cocinar,Agua potable
7,ANIMALES ACUÁTICOS,¿Qué sustancia puede ser utilizada durante los primeros auxilios después de ataque de una aguaviva? ,Cerveza,Agua dulce,Vinagre
8,ANIMALES ACUÁTICOS,¿Cuáles los primeros auxilios en caso de accidente por aguaviva o carabela? ,Orinar en el lugar,Pasar hielo,Aplicar vinagre
9,ANIMALES ACUÁTICOS,¿Cómo aliviar el dolor ocasionado por accidentes con peces ponzoñosos?,Aplicar pastas,Beber alcohol,Pasar agua tibia
10,ANIMALES ACUÁTICOS,¿Cuál es el color de la bandera en las playas para señalar la presencia de animales marinos peligrosos?,Roja,Negra,Morada
11,AIRE CONTAMINADO,¿Cómo se llama la neblina formada por la contaminación atmosférica?,Ondas de calor,Lluvia ácida,Smog
12,AIRE CONTAMINADO,"En general, ¿qué situaciones climáticas son más favorables para la contaminación del aire?",Nublado,Nieve,Calor y lluvia
13,AIRE CONTAMINADO,¿Cuál es el principal contaminante responsable por el efecto estufa?,Oxígeno,Amonio,Gas carbónico
14,AIRE CONTAMINADO,¿Cuál de estos es un contaminante atmosférico perjudicial para la salud de la población?,Nitrógeno,Plomo,Dióxido de Azufre
15,AIRE CONTAMINADO,¿Cuál de las alternativas es una fuente de contaminación atmosférica en ambientes internos?,Ducha eléctrica,Control remoto,Aire acondicionado
16,AIRE CONTAMINADO,¿Qué recomendación sirve para combatir los efectos de la contaminación atmosférica en la salud humana?,Realizar ejercicio,Reposo,Beber bastante agua
17,AIRE CONTAMINADO,¿Cuál es el efecto principal de la contaminación del aire sobre el clima?,Maremotos,Inundaciones,Aumento del calor
18,AIRE CONTAMINADO,¿Cuál de estos es un efecto del monóxido de carbono en la salud humana?,Cáncer de pulmón,Sinusitis,Dolores de cabeza
19,AIRE CONTAMINADO,¿El nivel de contaminación del aire acostumbra ser mayor en qué estación del año?,Otoño,Verano,Invierno
20,AIRE CONTAMINADO,¿Quiénes son los mayores responsables por las emisiones de contaminantes en las grandes ciudades?,industrias,Quemadas,Vehículos
21,AIRE CONTAMINADO,¿En cuál de estos dispositivos se encuentran los CFC's?,Celulares,Electrodomésticos,Refrigeradores
22,AIRE CONTAMINADO,¿Cuáles de estas medidas ayuda a controlar mejor la calidad del aire en relación a vehículos?,Conducción defensiva,Cambio de combustible,Uso de catalizadores
23,AIRE CONTAMINADO,¿Cuál de los contaminantes procede de centrales energéticas que queman carbón o petróleo?,Ozono,Nitrógeno,Dióxido de azufre
24,ARAÑA,¿Cuál de estas arañas no causa accidentes graves en Brasil?,Marrón,Araña errante brasileña,Tarántula
25,ARAÑA,¿Cuál es la región geográfica de Brasil donde ocurre la mayoría de los accidentes por arañas?,Sudeste,Nordeste,Sur
26,ARAÑA,¿Cuál de estas arañas presenta una picadura casi imperceptible?,Tarántula,Araña errante brasileña,Marrón
27,ARAÑA,¿Qué puede hacerse para ayudar a aliviar el dolor ocasionado por un accidente con araña?,Exprimir el lugar,Succión con la boca,Compresa tibia
28,TOSFERINA,¿Qué enfermedad se caracteriza por la tos larga?,Sarampión,Meningitis,Tosferina
29,TOSFERINA,"¿Si se tiene tos larga, chillido y vómitos se sospecha de qué enfermedad?",Influenza,Tuberculosis,Tosferina
30,TOSFERINA,¿Qué bacteria es causadora de la tosferina?,C. tetani,C. diphtheriae,B. pertussis
31,TOSFERINA,¿Cuál vacuna protege de la tosferina a los niños menores de 1 año?,BCG ,Triple viral,Pentavalente
32,TOSFERINA,¿Cuál es la principal medida de prevención de la tosferina?,uso de preservativos,Antibiótico,Vacuna
33,TOSFERINA,¿Qué antibiótico es recomendado para el tratamiento de la tosferina?,Rifampicina,Tamiflu,Azitromicina
34,DENGUE/ZIKA/CHIK,¿Con qué periodicidad debe realizarse la eliminación de criaderos? ,Diaria,Mensual,Semanal
35,DENGUE/ZIKA/CHIK,¿Cuál de las providencias no favorece la protección para las mujeres embarazadas? ,Usar mosquiteros,Limpiar la casa,Pasar aceite en la piel
36,DENGUE/ZIKA/CHIK,¿Cómo se transmite el dengue?,Besos,Abrazos,Picadura de mosquito
37,DENGUE/ZIKA/CHIK,¿El uso de aire acondicionado mata el mosquito Aedes?,Sólo ventilador,Sí,No
38,DENGUE/ZIKA/CHIK,¿Una persona con dengue puede hacer uso de aspirina y otros medicamentos similares?,Sí,Solamente aspirina,No puede
39,DENGUE/ZIKA/CHIK,¿En qué período del día usted puede ser picado por el Aedes aegypti?,Sólo por la mañana,Sólo por la noche,"Mañana, tarde y noche"
40,DENGUE/ZIKA/CHIK,¿El aire acondicionado de la mi sala de trabajo puede ser un criadero del Aedes aegypti?,No,Sólo ventiladores,Sí
41,DENGUE/ZIKA/CHIK,¿Todas las personas infectadas por el virus Zika desarrollan síntomas?,Sí,Solamente niños,No
42,DENGUE/ZIKA/CHIK,¿Cómo evitar el contagio por el virus Zika?,Tomar baño,Tomar vitaminas,Usar repelentes
43,DENGUE/ZIKA/CHIK,¿Qué es el Zika?,Una enfermedad,Un mosquito,Un virus
44,DENGUE/ZIKA/CHIK,¿Cuál de los siguientes síntomas se considera una señal de alerta para gestante?,Mareos matinales,Congestión nasal,Manchas rojas
45,DENGUE/ZIKA/CHIK,¿Cuál de las siguientes enfermedades es transmitida por mosquitos? ,Sífilis,Tuberculosis,Chikungunya
46,DENGUE/ZIKA/CHIK,¿Cuál es una señal de gravedad en el individuo con fiebre?,Tos,Diarrea,Sangrados
47,DESASTRES,"En casos de desmoronamiento o deslizamiento de tierra, ¿a quién llamar?",SAMU (192),CVV (141),Defensa Civil (199)
48,DESASTRES,"En casos de incendios, ¿el Cuerpo de Bomberos debe ser accionado mediante qué teléfono?",192,194,193
49,DESASTRES,"¿Qué hacer en caso de accidentes por animales ponzoñosos, después de una inundación? ",Chupar en el lugar,Capturar al animal,Buscar hospital
50,DESASTRES,"En caso de que encuentre animales ponzoñosos en su residencia, ¿a quién debe accionar?",SAMU (192),Defensa Civil (199),Bomberos (193)
51,DESASTRES,¿Dónde no debe quedarse usted en caso de incidencias de rayos?,En carro o autobús,En casa o edificio,Abajo de árbol
