ID,THÈME,QUESTION,RÉPONSE A,RÉPONSE B,RÉPONSE C
1,ABEILLE/GUÊPE,"Je vois une ruche d'abeilles ou de guêpes/frelons, que dois-je faire ?",La détruire,Mettre le feu,Contacter les autorités
2,ABEILLE/GUÊPE,Lequel de ces symptômes correspond à la piqûre d'abeille ou de guêpe/frelon ?,La somnolence ,Le saignement,Des douleurs intenses
3,EAU DESTINÉE À LA CONSOMMATION HUMAINE,Qui établit les normes de potabilité de l’eau de consommation humaine au Brésil ?,IBAMA,ANVISA,Ministère de la santé
4,EAU DESTINÉE À LA CONSOMMATION HUMAINE,Quel service doit être averti en cas de suspicion de contamination de l’eau ?,L’environnement,La Police,La Santé
5,EAU DESTINÉE À LA CONSOMMATION HUMAINE,Connaissez-vous la fréquence de nettoyage recommandée pour votre réservoir d’eau ?,Tous les 10 ans,Pas besoin de nettoyage,Tous les 6 mois
6,EAU DESTINÉE À LA CONSOMMATION HUMAINE,Savez-vous ce qu’est une eau destinée à la consommation humaine ?,Toutes les eaux,L’eau pour cuisiner,l’eau potable
7,ANIMAUX AQUATIQUES,Quelle substance peut être utilisée pour soigner les piqûres de méduses ? ,La bière,L’eau douce,Le vinaigre
8,ANIMAUX AQUATIQUES,Quels sont les premiers soins en cas de piqûre de méduse ? ,Uriner sur place,Mettre de la glace,Mettre du vinaigre
9,ANIMAUX AQUATIQUES,Comment soulager la douleur causée par des poissons venimeux ?,Mettre de la pommade,Boire de l'alcool,Passer de l'eau tiède
10,ANIMAUX AQUATIQUES,Quelle est la couleur du drapeau sur les plages pour signaler la présence d'animaux marins dangereux ?,Rouge,Noir,Violet
11,AIR CONTAMINÉ,Comment appelle-t-on le brouillard formé par la pollution atmosphérique ?,Canicule,Pluie acide,Smog
12,AIR CONTAMINÉ,"En général, quel temps est propice à la pollution atmosphérique ?",Ciel nuageux,La neige,Chaleur et pluie
13,AIR CONTAMINÉ,Quel est le principal polluant responsable de l'effet de serre ?,L’oxygène,L’ammoniac,Le gaz carbonique
14,AIR CONTAMINÉ,Lequel de ces polluants atmosphériques est dangereux pour la santé ?,L’azote,Le plomb,Le dioxyde de soufre
15,AIR CONTAMINÉ,Lequel de ces objets est source de pollution atmosphérique en milieu fermé ?,La douche électrique,La télécommande,L’air conditionné
16,AIR CONTAMINÉ,Quelle recommandation sert à lutter contre les effets de la pollution atmosphérique sur la santé humaine ?,Faire de l’exercice,Le repos,Boire beaucoup d'eau
17,AIR CONTAMINÉ,Quel est le principal effet de la pollution atmosphérique sur le climat ?,Les tsunamis,Les inondations,Une augmentation de la chaleur
18,AIR CONTAMINÉ,Lequel de ces effets est celui du monoxyde de carbone sur la santé humaine ?,Le cancer du poumon,La sinusite,Les maux de tête
19,AIR CONTAMINÉ,En quelle saison le niveau de pollution de l’air est-il le plus élevé ?,L’automne,L’été,L’hiver
20,AIR CONTAMINÉ,Qui sont les plus grands responsables des émissions de polluants dans les grandes villes ?,Les industries,Les brûlis,Les véhicules
21,AIR CONTAMINÉ,Dans quels appareils trouve-t-on les gaz CFC ?,Les portables,Les appareils électroménagers,Les réfrigérateurs
22,AIR CONTAMINÉ,"Parmi ces mesures, lesquelles permettent le mieux de contrôler la qualité de l'air en ce qui concerne les véhicules ?",Une conduite prudente,Changer de carburant,L’utilisation de catalyseurs
23,AIR CONTAMINÉ,Quel polluant provient de centrales électriques consommant du charbon ou du pétrole ?,L’ozone,L’azote,Le dioxyde de soufre
24,ARAIGNÉE,Laquelle de ces araignées ne cause pas d'accidents graves au Brésil ?,Les Loxosceles,L’araignée-banane (Phoneutria),La mygale
25,ARAIGNÉE,Dans quelle région géographique du Brésil trouve-t-on le plus d’accidents causés par des araignées ?,La région Sud-est,La région Nord-est,La région Sud
26,ARAIGNÉE,Laquelle de ces araignées provoque une morsure presque imperceptible ?,La mygale,L’araignée-banane (Phoneutria),Les Loxosceles
27,ARAIGNÉE,Que peut-on faire pour aider à soulager la douleur causée par une morsure d’araignée ?,Presser la plaie,La succion avec le bouche,Une compresse tiède
28,COQUELUCHE,Quelle maladie est caractérisée par une toux longue ?,La rougeole,La méningite,La coqueluche
29,COQUELUCHE,"Quelle maladie se cache derrière une toux longue, des bruits respiratoires, des vomissements après la toux ?",La grippe,La tuberculose,La coqueluche
30,COQUELUCHE,Quelle bactérie est à l'origine de la coqueluche ?,C. tetani,C. diphtheriae,B. pertussis
31,COQUELUCHE,Quel vaccin contre la coqueluche protège les enfants de moins d'un an ?,Le BCG ,Le ROR,Le vaccin pentavalent
32,COQUELUCHE,Quelle est la principale mesure de prévention contre la coqueluche ?,L’utilisation de préservatifs,Prendre des antibiotiques,Le vaccin
33,COQUELUCHE,Quel antibiotique est recommandée pour le traitement de la coqueluche ?,La rifampicine,Le Tamiflu,L’azithromycine
34,DENGUE/ZIKA/CHIK,À quelle fréquence faut-il détruire les sites de reproduction ? ,Tous les jours,Tous les mois,Toutes les semaines
35,DENGUE/ZIKA/CHIK,Laquelle de ces mesures ne favorise pas la protection des femmes enceintes ? ,Utiliser une moustiquaire,Nettoyer la maison,Passer de l'huile sur la peau
36,DENGUE/ZIKA/CHIK,Comment se transmet la dengue ?,Les baisers,Les câlins,La piqûre de moustique
37,DENGUE/ZIKA/CHIK,Est-ce que la climatisation tue le moustique Aedes ?,Le ventilateur seulement,Oui,Non
38,DENGUE/ZIKA/CHIK,Une personne atteinte de la dengue peut-elle faire usage d’aspirine et d’autres médicaments similaires ?,Oui,Seulement de l'aspirine,Ne doit pas
39,DENGUE/ZIKA/CHIK,À quelle période de la journée pouvez-vous être piqué pas Aedes aegypti ?,Le matin seulement,Seulement la nuit,"Matin, midi et soir"
40,DENGUE/ZIKA/CHIK,La climatisation de mon lieu de travail peut-il être un site de reproduction de Aedes aegypti ?,Non,Le ventilateur seulement,Oui
