ID,ТЕМА,ВОПРОС,АЛЬТЕРНАТИВА А,АЛЬТЕРНАТИВА B,АЛЬТЕРНАТИВА С
1,ПЧЕЛЫ / ОСЫ,"Что нужно сделать, если вы увидели улей пчёл или ос/шершней?",Сбейте ,Зажечь огонь ,Связаться с властями
2,ПЧЕЛЫ / ОСЫ,"Какой из этих симптомов является основным, после того, как вас ужалила пчела или оса / шершень?",Сонливость ,Кровотечение,Сильная боль
3,ПИТЬЕВАЯ ВОДА ,Кто несет ответственность за стандарт пригодности питьевой воды в Бразилии?,Бразильский институт окружающей среды и возобновляемых природных ресурсов,"Национальное Агентство по Санитарному Надзору, ANVISA",Министерство Здравоохранения
4,ПИТЬЕВАЯ ВОДА ,"Куда надо обратиться, если есть подозрение загрязнения воды?",Окружающая среда,Полиция,Здоровье
5,ПИТЬЕВАЯ ВОДА ,"Вы знаете, как часто рекомендуется мыть бак для воды?",Каждые 10 лет,Нет необходимости чистить,Каждые 6 месяцев
6,ПИТЬЕВАЯ ВОДА ,"Вы знаете, что значит - питьевая вода?",Любая вода,Вода для приготовления пищи,Питьевая вода
7,МОРСКИЕ ЖИВОТНЫЕ,Какое вещество может быть использовано для оказания первой медицинской помощи после контакта с медузой? ,Пиво,Пресная вода,Уксус
8,МОРСКИЕ ЖИВОТНЫЕ,Какую первую помощь нужно оказать в случае несчастного случая с медузой или физалией? ,Мочиться на месте,Приложить лёд,Обработать уксусом
9,МОРСКИЕ ЖИВОТНЫЕ,"Как облегчить боль, вызванную в случае несчастного случаю с ядовитой рыбой?",Применять папки,Употребление алкоголя,Обработать тёплой водой
10,МОРСКИЕ ЖИВОТНЫЕ,Какого цвета флаги на пляжах для сигнализации о наличии опасных морских животных?,Красный,Черный,Фиолетовый
11,ЗАГРЯЗНЕННЫЙ ВОЗДУХ,"Как называется туман, образованный в результате загрязнения воздуха?",Волны жары,Кислотный дождь,Смог
12,ЗАГРЯЗНЕННЫЙ ВОЗДУХ,"В общем, какие погодные условия более благоприятны для загрязнения воздуха?",Облачно,Снег,Жара и дождь 
13,ЗАГРЯЗНЕННЫЙ ВОЗДУХ,"Основной загрязнитель, отвечающий за парниковый эффект?",Кислород,Аммиак,Двуокись углерода
14,ЗАГРЯЗНЕННЫЙ ВОЗДУХ,Какой из них является опасным загрязнителем воздуха и негативно воздействует на здоровье  населения?,Азот,Свинец,Двуокись серы
15,ЗАГРЯЗНЕННЫЙ ВОЗДУХ,Что из них является источником загрязнения воздуха в помещении?,Электрический душ,Пульт дистанционного управления,Кондиционер
16,ЗАГРЯЗНЕННЫЙ ВОЗДУХ,Эта рекомендация служит для борьбы с последствиями загрязнения воздуха влияющими на здоровье человека?,Делать упражнения,Лежачий режим,Пить много воды
17,ЗАГРЯЗНЕННЫЙ ВОЗДУХ,Как действует загрязнение воздуха на климат?,Цунами,Наводнение,Повышение температуры
18,ЗАГРЯЗНЕННЫЙ ВОЗДУХ,Какой из них - влияние окиси углерода на здоровье человека?,Рак легких,Гайморит,Головная боль
19,ЗАГРЯЗНЕННЫЙ ВОЗДУХ,"В какой сезоне уровень загрязнения воздуха, как правило, выше?",Осень,Лето,Зима
20,ЗАГРЯЗНЕННЫЙ ВОЗДУХ,Кто  несёт основную ответственность за выбросы загрязняющих веществ в крупных городах?,отрасли,Ожоги,Транспортные средства
21,ЗАГРЯЗНЕННЫЙ ВОЗДУХ,В каком из этих устройств были найдены CFC-газы?,Сотовые телефоны,Бытовая техника,Холодильники
22,ЗАГРЯЗНЕННЫЙ ВОЗДУХ,"С какими из этих мер можно лучше контролировать качество воздуха, если речь идёт о транспортных средствах?",Безопасное вождение,Замена топлива,Использование катализаторов
23,ЗАГРЯЗНЕННЫЙ ВОЗДУХ,"Какое из загрязняющих веществ поступают с электростанций, которые работают на угле или нефти?",Озон,Азот,Двуокись серы
24,ПАУК,Какой из этих пауков не считается очень опасным в Бразилии?,Коричневый ,Бразильский странствующий паук,Тарантулы
25,ПАУК,"В каком географическом регионе Бразилии, происходит большинство несчастных случаев из-за пауков?",Юго-Восток,Северо-Восток,Южная
26,ПАУК,Какой из этих пауков имеет почти незаметный укус?,Тарантулы,Бразильский странствующий паук,Коричневый 
27,ПАУК,"Что можно сделать, чтобы помочь облегчить боль, вызванную укусом паука?",Нажать на место,Высосать ртом,Юг 
28,КОКЛЮШ,Какое заболевание характеризуется затяжным кашлем?,Корь ,Менингит,Коклюш
29,КОКЛЮШ,"Затяжной кашель, сипота и рвота после кашля, какую болезнь можно заподозрить?",Грипп ,Туберкулез,Коклюш
30,КОКЛЮШ,Какая бактерия вызывает коклюш?,C. tetani,C. diphtheriae,B. pertussis
31,КОКЛЮШ,Какая вакцина защищает против коклюша детей в возрасте до 1 года?,БЦЖ ,MMR,Пятивалентных
32,КОКЛЮШ,Какая основная мера рекомендуется для профилактики коклюша?,использование презервативов,Антибиотик,Прививка
33,КОКЛЮШ,Какой антибиотик рекомендуется для лечения коклюша?,Рифампин,«Тамифлю»,Азитромицин
34,ДЕНГЕ/ЗИКА/ЧИКУНГУНЬЯ,С какой частотой должны проводится уничтожения очага разведения? ,Ежедневно,Ежемесячно,Еженедельно
35,ДЕНГЕ/ЗИКА/ЧИКУНГУНЬЯ,Какие меры не пригодны для защиты беременных женщин? ,Используйте противомоскитные сетки,Уборка в доме,Обработать кожу маслом
36,ДЕНГЕ/ЗИКА/ЧИКУНГУНЬЯ,Как передаётся денге?,Поцелуи,Объятия,Укус комара
37,ДЕНГЕ/ЗИКА/ЧИКУНГУНЬЯ,Использование кондиционера убивает комаров Aedes?,Только вентилятор,Да,Нет
38,ДЕНГЕ/ЗИКА/ЧИКУНГУНЬЯ,"Человек, который болен денге, может принимать аспирин и другие подобные препараты?",Да,Только аспирин,Нельзя
39,ДЕНГЕ/ЗИКА/ЧИКУНГУНЬЯ,В какое время суток вас может укусить комар Aedes aegypti?,Только утром,Только ночью,"Утром, днем и вечером"
40,ДЕНГЕ/ЗИКА/ЧИКУНГУНЬЯ,Кондиционер воздуха в моём офисе может служить местом разведения комаров Aedes aegypti?,Нет,Только вентиляторы,Да
41,ДЕНГЕ/ЗИКА/ЧИКУНГУНЬЯ,У всех ли заражённых вирусом Зика присутствуют симптомы?,Да,Только дети,Нет
42,ДЕНГЕ/ЗИКА/ЧИКУНГУНЬЯ,Как избежать заражения вирусом Зика?,Принять ванну,Принимать витамины,Использовать репелленты 
43,ДЕНГЕ/ЗИКА/ЧИКУНГУНЬЯ,Что такое Зика?,Болезнь,Один комар,Вирус
44,ДЕНГЕ/ЗИКА/ЧИКУНГУНЬЯ,Какие из следующих симптомов считаются предупреждающим знаком для беременных?,Утренняя тошнота,Заложенность носа,Красные пятна на теле
45,ДЕНГЕ/ЗИКА/ЧИКУНГУНЬЯ,Какие из следующих заболеваний передаются комарами? ,Сифилис,Туберкулёз,Лихорадка Чикунгунья
46,ДЕНГЕ/ЗИКА/ЧИКУНГУНЬЯ,Какой серьёзный сигнал может присутствовать у человека у которого сильный жар?,Кашель,Диарея,Кровотечения
47,СТИХИЙНЫЕ БЕДСТВИЯ,"В случае обвала или оползня, к кому обращаться?",Служба Скорой Медицинской Помощи ()192,Центры Эмоциональной Поддержке (141),Гражданская Защита (199)
48,СТИХИЙНЫЕ БЕДСТВИЯ,"В случае пожара, по какому номеру вызывать Пожарную Службу?",192,194,193
49,СТИХИЙНЫЕ БЕДСТВИЯ,"Что делать в случае несчастного случая с ядовитыми животными, после наводнения? ",Высосать место,Поймать животное,Искать больницу
50,СТИХИЙНЫЕ БЕДСТВИЯ,"Если вы столкнулись с ядовитыми животными в вашем доме, кому вы должны сообщить?",Служба Скорой Медицинской Помощи (192),Гражданская Защита (199),Пожарная Служба (193)
51,СТИХИЙНЫЕ БЕДСТВИЯ,Где вы не должны быть в случае удара молний?,В машине или на автобусе,В доме или здании,Под деревом
52,СТИХИЙНЫЕ БЕДСТВИЯ,"Что может произойти с человеком, пораженным молнией?",Ничего,Только ожоги,Ожоги и смерть
53,СТИХИЙНЫЕ БЕДСТВИЯ,"В условиях проливного дождя, когда улицы затоплены, что делать?",Играть в воде,Пересечь наводнение,Найти укрытие
54,СТИХИЙНЫЕ БЕДСТВИЯ,"Если вы нашли брошенный рюкзак, что надо сделать?",Открыть ,Взять домой,Связаться с властями
55,СТИХИЙНЫЕ БЕДСТВИЯ,"При столкновении с объектом, на котором имеется радиоактивный символ, что нужно сделать?",Трогать вещь,Взять домой,Связаться с властями
56,СТИХИЙНЫЕ БЕДСТВИЯ,"Что нужно сделать, если вы получите подозрительную почту?",Вернуть ,Открыть ,Связаться с властями
57,СТИХИЙНЫЕ БЕДСТВИЯ,"Кого надо вызвать, если на улице вы столкнулись с утечкой химического вещества? ",Служба Скорой Медицинской Помощи (192),Полиция (197),Пожарная Служба (193)
