المعرّف,الموضوع,أسئلة,البديل أ,البديل ب,البديل ج
1,النحل/الزنابير,ما الذي ينبغي عليك فعله بعد اكتشاف خلية نحل أو زنابير/دبابير؟,يطرحها أرضًا,إشعال النيران فيها,الاتصال بالسلطات
2,النحل/الزنابير,أي مما يلي يمثل عرَض لدغة نحلة أو زنبور/دبور؟,النعاس ,نزف,ألم موجع
3,المياه المخصصة للاستهلاك البشري,من المسؤول عن معيار مياه الشرب للمياه المستخدمة للاستهلاك البشري في البرازيل؟,IBAMA,ANVISA,وزارة الصحة
4,المياه المخصصة للاستهلاك البشري,أي السلطات يجب إخطارها بشأن التلوث المشتبه به للمياه؟,البيئة,الشرطة,الرعاية الصحية
5,المياه المخصصة للاستهلاك البشري,هل تعلم كم عدد المرات التي ينصح فيها بتنظيف خزان المياه لديك؟,كل 10 سنوات,النظافة غير مطلوبة,كل 6 أشهر
6,المياه المخصصة للاستهلاك البشري,هل تعلم مما تتكون المياه المخصصة للاستهلاك البشري؟,أي مياه,مياه الطهي,شرب المياه
7,الكائنات البحرية,أي مادة يمكن استخدامها في إجراءات الإسعافات الأولية في حالة التعرض لهجمات من قناديل البحر؟ ,جعة,مياه نقية,الخل
8,الكائنات البحرية,ما إجراءات الإسعافات الأولية المتبعة في حالة وقوع حوادث تسببها قناديل البحر أو رجل الحرب البرتغالي (نوع من القناديل)؟ ,التبول على الفور,استخدام الثلج,استخدام الخل
9,الكائنات البحرية,كيف يمكن تطييب الألم الناجم عن حوادث تسببها الأسماك السامة؟,استخدام مرهم,تناول الكحول,استخدام ماء دافئ
10,الكائنات البحرية,أي لون علم يتم إظهاره على الشواطئ للإشارة إلى وجود كائنات بحرية خطيرة؟,أحمر,أسود,أرجواني
11,الهواء الملوث,ماذا يطلق على الضباب الناجم عن تلوث الهواء؟,موجات حرارية,مطر حمضي,الضباب الدخاني
12,الهواء الملوث,بوجه عام، ما الظروف المناخية الأكثر ملاءمة لتلوث الهواء؟,غائم,الثلج,الحرارة والمطر
13,الهواء الملوث,ما الملوث الرئيسي المسؤول عن حدوث ظاهرة الاحتباس الحراري؟,أكسجين,الأمونيا,ثاني أكسيد الكربون
14,الهواء الملوث,أي من هذه تمثل أحد الملوثات الضارة على صحة السكان؟,نيتروجين,الرصاص,ثاني أكسيد الكبريت
15,الهواء الملوث,أي من البدائل التالية تعد من أحد مصادر تلوث الهواء في الأماكن المغلقة؟,دش سخان المياه الكهربائي,التحكم عن بعد,تبريد الهواء
16,الهواء الملوث,أي مما يلي يُنصح به لمواجهة التأثيرات التي يسببها تلوث الهواء على صحة الإنسان؟,ممارسة,الراحة,شرب قدر من المياه
17,الهواء الملوث,ما التأثير الرئيسي الذي يسببه تلوث الهواء على الظروف المناخية؟,أمواج المد أو الجزر,الفيضانات,ارتفاع في الحرارة
18,الهواء الملوث,أي مما يلي له تأثير أول أكسيد الكربون على صحة الإنسان؟,سرطان الرئة,التهاب الجيوب,الصداع
19,الهواء الملوث,ما الموسم الذي يكون فيه عادة مستوى تلوث الهواء أعلى من المعدل؟,الخريف,الصيف,الشتاء
20,الهواء الملوث,أي مما يلي ينبعث منها معظم الملوثات في المدن الكبرى؟,الصناعات,حرائق النباتات,السيارات
21,الهواء الملوث,أي من هذه الأجهزة تحتوي على غازات الكلوروفلوروكربون؟,الهواتف المحمولة,الأجهزة المنزلية,الثلاجات
22,الهواء الملوث,أي من هذه التدابير المتعلقة بالمركبات تساعد على التحكم في جودة الهواء؟,القيادة الوقائية,استخدام أنواع مختلفة من الوقود,استخدام محولات حفازة
23,الهواء الملوث,ما الملوثات الرئيسية المتولدة في محطات توليد الكهرباء التي تحرق الفحم أو النفط؟,الأوزون,نيتروجين,ثاني أكسيد الكبريت
24,العنكبوت,أي من هذه العناكب لا تعد من الأسباب الرئيسية لحوادث العناكب العديدة في البرازيل؟,بني,العنكبوت البرازيلي الجوال,الرتيلاء (عنكبوت سام)
25,العنكبوت,في أي منطقة في البرازيل تتركز غالبية الحوادث التي تسببها العناكب؟,الجنوب الشرقي,الشمال الشرقي,الجنوب
26,العنكبوت,أي من هذه العناكب يمتلك لدغة لا يمكن الكشف عنها تقريبًا؟,الرتيلاء (عنكبوت سام),العنكبوت البرازيلي الجوال,بني
27,العنكبوت,ما الذي يمكن فعله للمساعدة على التخفيف من الألم الناجم عن لدغات العناكب؟,الضغط على البثرة,مص الموضع,الضغط الدافئ
28,السعال الديكي,ما المرض الذي يسبب سعال حاد؟,الحصبة,الوتدية الخناقية,السعال الديكي
29,السعال الديكي,ما المرض الذي تتمثل أعراضه في الإصابة بسعال حاد وسعال ديكي مصحوب بالقيء؟,الأنفلونزا,السل,السعال الديكي
30,السعال الديكي,ما البكتريا المسببة للسعال الديكي؟,المطثية الكزازية,التهاب السحايا,البورديتيلة الشاهوقية
31,السعال الديكي,أي لقاح يحمي الأطفال دون عمر السنة الواحدة من الإصابة بالسعال الديكي؟,لقاح عصية كالميت جيران ,لقاح الفيروس ثلاثي التكافؤ,لقاح خماسي التكافؤ
32,السعال الديكي,ما الإجراء الرئيسي الذي يقي من السعال الديكي؟,استخدام الواقيات الجنسية,مضادات حيوية,لقاح
33,السعال الديكي,ما المضاد الحيوي الذي ينصح به للعلاج من السعال الديكي؟,ريفامبين,التاميفلو,أزيثرومايسين
34,حمى الضنك/حمى زيكا/حمى تشيك,كم عدد المرات التي يجب فيها القضاء على مواقع التكاثر؟ ,يوميًا,شهريًا,أسبوعيًا
35,حمى الضنك/حمى زيكا/حمى تشيك,أي من هذه الإجراءات الوقائية لا تساعد على حماية النساء الحوامل؟ ,استخدام الناموسيات,تنظيف المنزل,استخدام الزيت على الجلد
36,حمى الضنك/حمى زيكا/حمى تشيك,كيف تنتقل حمى الضنك؟,التقبيل,احتضان,لدغة البعوضة
37,حمى الضنك/حمى زيكا/حمى تشيك,هل تقتل وحدات تبريد الهواء البعوض الزاعج؟,المراوح فقط,نعم,لا
38,حمى الضنك/حمى زيكا/حمى تشيك,هل يمكن للأشخاص المصابين بحمى الضنك تناول الأسبرين وغيرها من الأدوية المماثلة؟,نعم,الأسبرين فقط,لا، لا يمكنهم
39,حمى الضنك/حمى زيكا/حمى تشيك,في أي وقت من اليوم يمكن أن يتعرض الأشخاص للدغ من البعوضة الزاعجة المصرية؟,فقط في الصباح,فقط في الليل,فترات الصباح وفترات بعد الظهيرة وفترات المساء
40,حمى الضنك/حمى زيكا/حمى تشيك,هل يمكن أن يمثل جهاز تكييف الهواء في مكتبي موقعًا لتكاثر البعوض الزاعج المصري؟,لا,المراوح فقط,نعم
41,حمى الضنك/حمى زيكا/حمى تشيك,هل تظهر أعراض على جميع الأشخاص المصابين بفيروس زيكا؟,نعم,الأطفال فقط,لا
42,حمى الضنك/حمى زيكا/حمى تشيك,كيف تتم الوقاية من الإصابة بفيروس زيكا؟,يستحم,تناول الفيتامينات,استخدام المبيدات الحشرية
43,حمى الضنك/حمى زيكا/حمى تشيك,ماذا يقصد بفيروس زيكا؟,مرض,بعوضة,فيروس
44,حمى الضنك/حمى زيكا/حمى تشيك,أي من الأعراض التالية تحدد على أنها أعلام صفراء للنساء الحوامل؟,غثيان الصباح,احتقان الأنف,بقع حمراء
45,حمى الضنك/حمى زيكا/حمى تشيك,أي من الأمراض التالية ينقلها البعوض؟ ,مرض الزهري,السل,شيكونغونيا
46,حمى الضنك/حمى زيكا/حمى تشيك,أي مما يلي يمثل إحدى علامات تفاقم المرض في الأشخاص المصابين بالحمى؟,السعال,الإسهال,نزف
47,الكوارث,كيف يجب الإشارة إليه في حالة وقع انهيارات أرضية؟,SAMU (192),CVV (141),الدفاع المدني (199)
48,الكوارث,ما رقم إدارة الإطفاء المخصص للاتصال عليه في حالة نشوب الحرائق؟,192,194,193
49,الكوارث,ما الذي يجب فعله في حالة التعرض للدغات الحيوانات السامة بعد وقوع فيضان؟ ,مص الموضع,الإمساك بالحيوان,الانتقال إلى المستشفى
50,الكوارث,من يجب الاتصال به في حالة العثور على حيوانات سامة في منزلك؟,SAMU (192),الدفاع المدني (199),إدارة الإطفاء (193)
51,الكوارث,ما المكان الذي ينبغي تفادي الوجود فيه في حالة وقوع عاصفة رعدية؟,في سيارة أو حافلة,في منزل أو مبنى,تحت الأشجار
52,الكوارث,ما الذي يمكن حدوثه لشخص ما يضربه البرق؟,لا شيء,حروق فقط,الحالات التي تعرضت لحروق وحالات الوفيات
53,الكوارث,ما الذي ينبغي عليك فعله في حالة هطول أمطار غزيرة وتعرض الشوارع للغرق بالمياه؟,اللعب في الماء,عبر الفيضان,البحث عن مأوى
54,الكوارث,ما الذي ينبغي عليك فعله في حالة العثور على حقيبة ظهر متروكة؟,افتحه,أخذه إلى المنزل,الاتصال بالسلطات
55,الكوارث,ما الذي ينبغي عليك فعله في حالة العثور على جسم ما يحتوي على رمز مشع؟,ملامسة الجسم,أخذه إلى المنزل,الاتصال بالسلطات
56,الكوارث,ما الذي ينبغي عليك فعله في حالة استلام بريد مشتبه به؟,رد إلى المرسل,افتحه,الاتصال بالسلطات
57,الكوارث,من ينبغي عليك الاتصال به في حالة ظهور تسرب كيميائي متدفق في أحد الشوارع؟ ,SAMU (192),الشرطة المدنية (197),إدارة الإطفاء (193)
58,الكوارث,ما الأخطار المستترة لمياه الفيضان؟,لا أحد,البرد,داء البريميات
59,الدفتيريا,كيف يتم التعرف على الدفتيريا على المستوى الشعبي؟,الشلل الرخو ,سعال حاد,الخناق
60,الدفتيريا,كم تبلغ فترة حضانة الدفتيريا السائدة؟,من 5 أيام إلى 15 يومًا,من 5 أيام إلى 10 أيام,من يوم واحد إلى 6 أيام
61,الدفتيريا,إلى متى يستطيع ناقل المرض القضاء على العصية الخناقي؟,سنة واحدة,3 أشهر أو أكثر,6 أشهر أو أكثر
62,الدفتيريا,ما اللقاح الذي ينصح به للوقاية من الإصابة بالدفتيريا في الأفراد البالغين؟,لقاح الفيروس ثلاثي التكافؤ,لقاح عصية كالميت جيران,تطعيم مزدوج للأفراد البالغين
63,الدفتيريا,أي إجراء علاجي يكون أكثر فعالية في علاج الدفتيريا؟,العلاج بالمضادات الحيوية,لقاح,الترياق المضاد للخناق
64,الدفتيريا,ما الإجراء الوقائي الأكثر فعالية لعلاج الدفتيريا؟,العلاج بالمضادات الحيوية,استخدام الواقيات الجنسية,التطعيم
65,داء شاغاس,ما العامل الذي يسبب مرض الشاغاس؟,البكتيريا,فيروس,حيوانات وحيدة الخلية
66,داء شاغاس,ما الحشرة التي تنقل مرض الشاغاس؟,الزنابير,البعوض ,القراد
67,داء شاغاس,في أي مما يلي لا يتم انتقال مرض الشاغاس؟,نقل الدم,طعام ملوث,ملامسة الآخرين
68,داء شاغاس,ما حشرات البق اللثام التي يمكن أن تنقل عبر لدغتها مرض الشاغاس؟,جميعها,الإناث فقط,الأفراد المصابون فقط
69,داء شاغاس,ما العرَض الرئيسي للمرحلة الحادة لمرض الشاغاس؟,آلام المفاصل,السعال,حمى مستمرة
70,داء شاغاس,كيف يمكن الحصول على تشخيص تأكيدي لمرض الشاغاس؟,فحص البول,فحص البراز,فحص الدم
71,داء شاغاس,هل يوفر نظام SUS أي علاج نوعي لمرض الشاغاس؟ ,نعم. مجاني,لا,نعم، لكنها خدمة مدفوعة
72,داء شاغاس,أي مما يلي لا يعد إجراءً وقائيًا لمرض الشاغاس؟,استخدام الناموسيات,الحفاظ على نظافة الساحة,القضاء على جميع مصادر المياه الجارية
73,داء شاغاس,كيف ينبغي أن تمتد متابعة الأشخاص المصابين بالحمى لأكثر من 7 أيام؟,تناول المضادات الحيوية,تناول مخفض للحرارة,البحث عن المساعدة في نظام SUS
74,الأمراض المنقولة جنسيًا/الإيدز,ما الذي ينبغي عليك فعله بعد تلامس دم أو سائل منوي يحتمل أن يكون ملوثًا بفيروس العوز المناعي البشري؟,لا شيء,يستحم,البحث عن المساعدة في نظام SUS
75,الأمراض المنقولة جنسيًا/الإيدز,هل يمثل الفصل بين الأشخاص المصابين بفيروس العوز المناعي البشري/الإيدز جريمة في البرازيل؟,لا,تتوقف على السبب,نعم
76,الأمراض المنقولة جنسيًا/الإيدز,هل يجب أن يكون حاملو فيروس العوز المناعي البشري مرضى بالفعل للحصول على العلاج من نظام SUS ؟,نعم,لا يوجد علاج,يحق للجميع الحصول على العلاج
77,الأمراض المنقولة جنسيًا/الإيدز,هل يمثل فيروس نقص العوز المناعي الشيء نفسه الذي يمثله الإيدز؟,نعم,فيروس العوز المناعي البشري هو اختصار لمرض الإيدز,لا
78,الأمراض المنقولة جنسيًا/الإيدز,هل الواقيات الجنسية هي الطريقة الوحيدة للوقاية من الإصابة بفيروس نقص العوز المناعي؟,نعم,لا. اللوالب فقط,لا
79,الأمراض المنقولة جنسيًا/الإيدز,لماذا ينبغي على المرضى تناول الدواء المعالج لفيروس نقص العوز المناعي؟,لعلاج الإيدز,للعيش حياة أسوأ,لكي تحظى بحياة أفضل
80,الأمراض المنقولة جنسيًا/الإيدز,متى ينبغي عليّ البدء في تناول الدواء بعد العلم بإصابتي بفيروس نقص العوز المناعي؟,عندما تسوء حالتي,لا يوجد دواء,على الفور
81,الأمراض المنقولة جنسيًا/الإيدز,هل يوجد لقاح أو علاج للإيدز؟,نعم,للنساء فقط,لا
82,الأمراض المنقولة جنسيًا/الإيدز, هل يجب أن يتناول الأشخاص المصابون بفيروس العوز المناعي البشري الكثير من الأدوية يوميًا؟,نعم,لا,تتوقف على الحالة المحددة
83,الأمراض المنقولة جنسيًا/الإيدز,هل صحيح أن دواء فيروس العوز المناعي البشري له آثار جانبية؟,لا. هذه خرافة.,فقط في الأطفال,نعم
84,الأمراض المنقولة جنسيًا/الإيدز,أي مما يلي تعد آثارًا جانبية لعلاج فيروس العوز المناعي البشري؟,اكتئاب,الهذيان,الغثيان والتقيؤ
85,الأمراض المنقولة جنسيًا/الإيدز,هل يتم الوقاية من فيروس الورم الحليمي البشري من الأمراض التي تنتقل بالاتصال الجنسي باستخدام اللقاح؟,فقط في الأطفال,لا,نعم
86,الأمراض المنقولة جنسيًا/الإيدز,أي مما يلي لا يعد من الأمراض التي تنتقل بالاتصال الجنسي؟,مرض الزهري,فيروس الورم الحليمي البشري,حمى الضنك
87,الأمراض المنقولة جنسيًا/الإيدز,كيف يمكننا الوقاية من جميع العدوى التي تنتقل بالاتصال الجنسي؟,الامتناع عن ممارسة الجنس,أحادي التزاوج,استخدام الواقيات الجنسية
88,الأمراض المنقولة جنسيًا/الإيدز,هل يكون ارتداء واقيين جنسيين في الوقت نفسه أكثر أمانًا؟,نعم,نعم، يمكن الاستخدام حتى 3,لا
