1;ABELHA/VESPAS;Ao se visualizar uma colméia de abelhas ou vespas/marimbondos, o que deve ser feito?;Derrubá-las;Atear fogo;Contatar autoridades
2;ABELHA/VESPAS;Qual desses é o principal sintoma de uma ferroada de abelha ou vespa/marimbondo?;Sonolência ;Sangramento;Dor intensa
3;ÁGUA PARA CONSUMO HUMANO;Quem é responsável pelo padrão de potabilidade da água de consumo humano no Brasil?;IBAMA;ANVISA;Ministério da Saúde
4;ÁGUA PARA CONSUMO HUMANO;Qual setor deve ser comunicado a partir de suspeita de contaminação de água?;Meio ambiente;Polícia;Saúde
5;ÁGUA PARA CONSUMO HUMANO;Você sabe de quanto em quanto tempo é recomendada a limpeza de sua caixa d'água?;A cada 10 anos;Não precisa limpar;A cada 6 meses
6;ÁGUA PARA CONSUMO HUMANO;Você sabe o que é água para consumo humano?;Qualquer água;Água para cozinhar;Água potável
7;ANIMAIS AQUÁTICOS;Qual susbtância pode ser utilizada durante os primeiros socorros após ataque de água-viva? ;Cerveja;Água doce;Vinagre
8;ANIMAIS AQUÁTICOS;Quais os primeiros socorros em caso de acidente por água-viva ou caravela? ;Urinar no local;Passar gelo;Aplicar vinagre
9;ANIMAIS AQUÁTICOS;Como aliviar a dor ocasionada por acidentes com peixes peçonhentos?;Aplicar pastas;Beber álcool;Passar água morna
10;ANIMAIS AQUÁTICOS;Qual a cor da bandeira em praias para sinalizar a presença de animais marinhos perigosos?;Vermelha;Preta;Roxa
11;AR CONTAMINADO;Como é chamada a neblina formada pela poluição atmosférica?;Ondas de calor;Chuva ácida;Smog
12;AR CONTAMINADO;Em geral, qual situação climática são mais favoráveis à poluição do ar?;Nublado;Neve;Calor e chuva
13;AR CONTAMINADO;Qual o principal poluente responsável pelo efeito estufa?;Oxigênio;Amônia;Gás carbônico
14;AR CONTAMINADO;Qual destes é um poluente atmosférico prejudicial à saúde da população?;Nitrogênio;Chumbo;Dióxido de Enxofre
15;AR CONTAMINADO;Qual das alternativas é uma fonte de poluição atmosférica em ambientes internos?;Chuveiro elétrico;Controle remoto;Ar condicionado
16;AR CONTAMINADO;Que recomendação serve para combater os efeitos da poluição atmosférica na saúde humana?;Fazer exercícios;Repouso;Beber bastante água
17;AR CONTAMINADO;Qual  o efeito principal da poluição do ar sobre o clima?;Maremotos;Alagamentos;Aumento do calor
18;AR CONTAMINADO;Qual destes é um efeito do monóxido de carbono na saúde humana?;Câncer de pulmão;Sinusite;Dores de cabeça
19;AR CONTAMINADO;O nível de poluição do ar costuma ser maior em qual estação do ano?;Outono;Verão;Inverno
20;AR CONTAMINADO;Quem são os maiores responsável por emissões de poluentes nas grandes cidades?;indústrias;Queimadas;Veículos
21;AR CONTAMINADO;Os gases  CFC's são encontrados em qual desses dispositivos?;Celulares;Eletrodomésticos;Refrigeradores
22;AR CONTAMINADO;Quais dessas medidas ajuda a controlar melhor a qualidade do ar, em relação a veículos?;Direção defensiva;Troca de combustível;Uso de catalizadores
23;AR CONTAMINADO;Qual dos poluentes procede de centrais energéticas que queimam carvão ou petróleo?;Ozônio;Nitrogênio;Dióxido de enxofre
24;ARANHA;Qual dessas aranhas não causa acidentes graves no Brasil?;Marrom;Armadeira;Caranguejeira
25;ARANHA;Qual a região geográfica do Brasil onde ocorre a maioria dos acidentes por aranhas?;Sudeste;Nordeste;Sul
26;ARANHA;Qual dessas aranhas apresenta uma picada quase imperceptível?;Caranguejeira;Armadeira;Marrom
27;ARANHA;O que pode ser feito para ajudar a aliviar a dor ocasionada por um acidente com aranha?;Espremer o local;Sucção com a boca;Compressa morna
28;COQUELUCHE;Qual doença caracteriza-se pela tosse comprida?;Sarampo;Meningite;Coqueluche
29;COQUELUCHE;Tosse comprida, guincho e vômitos pós-tosse suspeita-se de qual doença?;Influenza;Turbeculose;Coqueluche
30;COQUELUCHE;Qual bactéria é causadora da coqueluche?;C. tetani;C. diphtheriae;B. pertussis
31;COQUELUCHE;Qual  vacina protege da coqueluche as crianças menores de  1 ano?;BCG ;Tríplice viral;Pentavalente
32;COQUELUCHE;Qual a principal medida de prevenção da coqueluche?;uso  de  preservativos;Antibiótico;Vacina
33;COQUELUCHE;Qual antibiótico é recomendado para o tratamento da coqueluche?;Rifampicina;Tamiflu;Azitromicina
34;DENGUE/ZIKA/CHIK;A eliminação de criadouros deve ser realizada com que periodicidade? ;Diária;Mensal;Semanal
35;DENGUE/ZIKA/CHIK;Qual das providências não favorece a proteção para as mulheres grávidas? ;Usar mosquiteiros;Limpar a casa;Passar óleo na pele
36;DENGUE/ZIKA/CHIK;Como se transmite a dengue?;Beijos;Abraços;Picada do mosquito
37;DENGUE/ZIKA/CHIK;Uso de ar condicionado mata o mosquito Aedes?;Apenas ventilador;Sim;Não
38;DENGUE/ZIKA/CHIK;Uma pessoa com dengue pode fazer uso de aspirina e outros medicamentos similares?;Sim;Somente aspirina;Não pode
39;DENGUE/ZIKA/CHIK;Em que período do dia você pode ser picado pelo Aedes aegypti?;Só pela manhã;Só pela noite;Manhã, tarde e noite
40;DENGUE/ZIKA/CHIK;O ar condicionado da minha sala de trabalho pode ser um criadouro do Aedes aegypti?;Não;Apenas ventiladores;Sim
41;DENGUE/ZIKA/CHIK;Todas as pessoas infectadas pelo vírus Zika desenvolvem sintomas?;Sim;Somente crianças;Não
42;DENGUE/ZIKA/CHIK;Como evitar o contágio pelo vírus Zika?;Tomar banho;Tomar vitaminas;Usar repelentes
43;DENGUE/ZIKA/CHIK;O que é o Zika ?;Uma doença;Um mosquito;Um vírus
44;DENGUE/ZIKA/CHIK;Qual dos sintomas seguintes se considera um sinal de alerta para gestante?;Enjoos matinais;Congestão nasal;Manchas vermelhas
45;DENGUE/ZIKA/CHIK;Qual das seguintes doenças é transmitida por mosquitos? ;Sífilis;Tuberculose;Chikungunya
46;DENGUE/ZIKA/CHIK;Qual é um sinal de gravidade no indivíduo com febre ?;Tosse;Diarreia;Sangramentos
47;DESASTRES;Em casos de desmoronamento ou deslizamento de terra, quem chamar?;SAMU (192);CVV (141);Defesa Civil (199)
48;DESASTRES;Em casos de incêndios, o Corpo de Bombeiros deve ser acionado por qual telefone?;192;194;193
49;DESASTRES;O que fazer em caso de acidentes por animais peçonhentos, após uma enchente? ;Sugar o local;Capturar o animal;Procurar hospital
50;DESASTRES;Caso encontre animais peçonhentos em sua residência quem você deve acionar?;SAMU (192);Defesa Civil (199);Bombeiros (193)
51;DESASTRES;Onde você não deve ficar em caso de incidências de raios ?;Em carro ou ônibus;Em casa ou prédio;Embaixo de árvore
52;DESASTRES;Se uma pessoa for atingida por um raio, o que pode acontecer?;Nada;Somente queimaduras;Queimaduras e morte
53;DESASTRES;Numa situação de chuva forte, onde as ruas ficam inundadas, o que fazer?;Brincar na água;Atravessar a enchente;Procurar abrigo
54;DESASTRES;Se você encontrar uma mochila abandonada, o que deve fazer?;Abrir;Levar para casa;Acionar autoridades
55;DESASTRES;Ao se deparar com um objeto que possua o símbolo radioativo, o que fazer?;Manusear o objeto;Levar para casa;Acionar autoridades
56;DESASTRES;O que deve fazer caso receba alguma correspondência suspeita?;Devolver;Abrir;Acionar autoridades
57;DESASTRES;Se você estiver numa rua e se deparar com um vazamento de produto químico, quem acionar? ;SAMU (192);Polícia Civil (197);Bombeiros (193)
58;DESASTRES;Quais os perigos que a água de enchentes esconde?;Nenhum;Gripe;Leptospirose
59;DIFTERIA;Como a difteria é popularmente  conhecida?;Paralisia flácida ;Tosse comprida;Crupe
60;DIFTERIA;Em geral, qual o  período  de incubação para a difteria?;5 a 15 dias;5 a 10 dias;1 a 6 dias
61;DIFTERIA;Por quanto  tempo  o  portador pode eliminar o  bacilo da difteria?;1 ano;3 meses ou mais;6 meses ou mais
62;DIFTERIA;Qual  vacina  é recomendada para prevenir difteria em adultos?;Tríplice viral;BCG;Dupla  adulto
63;DIFTERIA;Qual medida terapêutica é mais  eficaz no tratamento  da  difteria?;Antibioticoterapia;Vacina;Soro antidiftérico
64;DIFTERIA;Qual  a  medida  de prevenção  mais  eficaz para a difteria?;antibioticoterapia;Uso de preservativos;Vacinação
65;DOENÇA DE CHAGAS;Qual é o agente causador da Doença de Chagas?;Bactéria;Vírus;Protozoário
66;DOENÇA DE CHAGAS;Qual o inseto transmissor da Doença de Chagas?;Vespas;Mosquitos ;Barbeiros
67;DOENÇA DE CHAGAS;Qual destas formas não transmite a Doença de Chagas?;Transfusão de sangue;Alimento contaminado;Contato com pessoas
68;DOENÇA DE CHAGAS;Quais barbeiros, ao picarem as pessoas, podem transmitir a Doença de Chagas?;Todos;Somente as fêmeas;Apenas os infectados
69;DOENÇA DE CHAGAS;Qual o principal sintoma da fase aguda da Doença de Chagas?;Dores nas juntas;Tosse;Febre constante
70;DOENÇA DE CHAGAS;Como é feito o diagnóstico confirmatório da Doença de Chagas?;Exame de urina;Exame de fezes;Exame de sangue
71;DOENÇA DE CHAGAS;A Doença de Chagas tem tratamento específico oferecido pelo SUS? ;Sim. É gratuito;Não;Sim, mas é pago
72;DOENÇA DE CHAGAS;Quais destas, não é uma forma de se prevenir da Doença de Chagas?;Usar mosquiteiros;Limpar quintais;Remover água parada
