ID;TOPIC;QUESTION;ALTERNATIVE A;ALTERNATIVE B;ALTERNATIVE C
1;BEES/WASPS;What should you do after spotting a hive of bees or wasps/hornets?;Knock them down;Set them on fire;Contact authorities
2;BEES/WASPS;Which of the following is the main symptom of a bee or wasp/hornet sting?;Drowsiness ;Bleeding;Intense pain
3;WATER FOR HUMAN CONSUMPTION;Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?Who is responsible for the human drinkin -water standard in Brazil?;IBAMA;ANVISA;Ministry of Health
4;WATER FOR HUMAN CONSUMPTION;Which authorities must be notified of suspected water contamination?;Department of the Environment;Police;Ministry of HealthMinistry of HealthMinistry of HealthMinistry of HealthMinistry of HealthMinistry of HealthMinistry of HealthMinistry of HealthMinistry of HealthMinistry of HealthMinistry of HealthMinistry of HealthMinistry of HealthMinistry of HealthMinistry of HealthMinistry of HealthMinistry of HealthMinistry of HealthMinistry of Health
5;WATER FOR HUMAN CONSUMPTION;Do you know how often it is recommended to clean your water tank?;Every 10 years;Cleaning is not required;Every 6 months
6;WATER FOR HUMAN CONSUMPTION;Do you know what water humans can consume?;Any water;Cooking water;Drinking water
7;SEA ANIMALS;Which substance can be used in first-aid procedures in case of jellyfish attacks? ;Beer;Fresh water;Vinegar
8;SEA ANIMALS;What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? What are the first-aid procedures in case of accidents involving jellyfish or Portuguese man-of-wars? ;Urinate on the spot;Apply ice;Apply vinegar
9;SEA ANIMALS;How can the pain caused by accidents involving venomous fish be relieved?;Apply ointment;Drink alcohol;Apply warm water
10;SEA ANIMALS;Which flag color is displayed on beaches to indicate the presence of dangerous sea animals?;Red;Black;Purple
11;CONTAMINATED AIR;What is the fog caused by air pollution called?;Heat waves;Acid rain;Smog
12;CONTAMINATED AIR;In general, which climate conditions are most favorable to air pollution?;Cloudy;Snow;Heat and rain
13;CONTAMINATED AIR;What is the main pollutant responsible for the greenhouse effect?;Oxygen;Ammonia;Carbon dioxide
14;CONTAMINATED AIR;Which of these is an air pollutant harmful to the population’s health?;Nitrogen;Lead;Sulphur dioxide
15;CONTAMINATED AIR;Which of these technologies is a source of indoor air pollution?;Electric shower;Remote control;Air conditioning
16;CONTAMINATED AIR;Which of the following is recommended to counter the effects of air pollution in human health?;Exercising;Resting;Drinking plenty of water
17;CONTAMINATED AIR;What is the main effect of air pollution on climate conditions?;Tidal waves;Floods;Increased heat
18;CONTAMINATED AIR;Which of the following is an effect of carbon monoxide in human health?;Lung cancer;Sinusitis;Headaches
19;CONTAMINATED AIR;In which season is the level of air pollution usually higher?;Autumn;Summer;Winter
20;CONTAMINATED AIR;Which of the following emits most pollutants in major cities?;Industry;Vegetation fires;Vehicles
